来館日,顧客ID,ランニング（時間）,バイク（距離）,筋トレ（セット数）
2022/3/1,C0002,0.7,1,4
2022/3/4,C0001,2.9,1,3
2022/3/6,C0003,0.6,0.2,
2022/3/6,C0004,1.8,2.5,
2022/3/8,C0002,0.8,1,3
2022/3/11,C0001,2,0.4,
2022/3/13,C0003,0.5,,1
2022/3/13,C0004,1.2,1.7,
2022/3/15,C0002,2.4,1,
2022/3/18,C0001,,2.1,2
2022/3/20,C0003,1.7,0.9,2
2022/3/20,C0004,0.2,2.2,
2022/3/22,C0002,2.4,1,2
2022/3/25,C0001,1.7,2.7,2
2022/3/27,C0003,0.2,2.3,1
2022/3/27,C0004,1.6,2.7,
2022/3/29,C0002,1.7,1,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
